time,location,new_id
07:00,dairy,3
07:00,drinks,3
07:00,fruit,4
07:01,checkout,2
07:01,dairy,6
07:01,drinks,3
07:01,fruit,4
07:01,spices,1
07:02,checkout,5
07:02,dairy,6
07:02,drinks,1
07:02,fruit,4
07:02,spices,2
07:03,checkout,1
07:03,dairy,14
07:03,drinks,3
07:03,fruit,5
07:03,spices,2
07:04,checkout,2
07:04,dairy,18
07:04,drinks,4
07:04,fruit,6
07:04,spices,4
07:05,checkout,7
07:05,dairy,15
07:05,drinks,7
07:05,fruit,2
07:05,spices,1
07:06,checkout,6
07:06,dairy,14
07:06,drinks,7
07:06,fruit,8
07:06,spices,2
07:07,checkout,1
07:07,dairy,16
07:07,drinks,8
07:07,fruit,10
07:07,spices,4
07:08,checkout,5
07:08,dairy,17
07:08,drinks,9
07:08,fruit,9
07:08,spices,5
07:09,checkout,9
07:09,dairy,11
07:09,drinks,10
07:09,fruit,7
07:09,spices,6
07:10,checkout,5
07:10,dairy,8
07:10,drinks,9
07:10,fruit,12
07:10,spices,6
07:11,checkout,6
07:11,dairy,8
07:11,drinks,10
07:11,fruit,13
07:11,spices,5
07:12,checkout,4
07:12,dairy,10
07:12,drinks,11
07:12,fruit,22
07:12,spices,8
07:13,checkout,6
07:13,dairy,13
07:13,drinks,16
07:13,fruit,20
07:13,spices,5
07:14,checkout,11
07:14,dairy,17
07:14,drinks,15
07:14,fruit,22
07:14,spices,2
07:15,checkout,9
07:15,dairy,15
07:15,drinks,13
07:15,fruit,16
07:15,spices,12
07:16,checkout,8
07:16,dairy,18
07:16,drinks,12
07:16,fruit,15
07:16,spices,10
07:17,checkout,11
07:17,dairy,13
07:17,drinks,15
07:17,fruit,12
07:17,spices,13
07:18,checkout,7
07:18,dairy,19
07:18,drinks,12
07:18,fruit,13
07:18,spices,7
07:19,checkout,6
07:19,dairy,22
07:19,drinks,15
07:19,fruit,15
07:19,spices,6
07:20,checkout,17
07:20,dairy,26
07:20,drinks,9
07:20,fruit,11
07:20,spices,9
07:21,checkout,10
07:21,dairy,20
07:21,drinks,11
07:21,fruit,11
07:21,spices,5
07:22,checkout,6
07:22,dairy,18
07:22,drinks,10
07:22,fruit,19
07:22,spices,7
07:23,checkout,10
07:23,dairy,18
07:23,drinks,13
07:23,fruit,15
07:23,spices,2
07:24,checkout,6
07:24,dairy,16
07:24,drinks,13
07:24,fruit,13
07:24,spices,3
07:25,checkout,4
07:25,dairy,16
07:25,drinks,12
07:25,fruit,11
07:25,spices,10
07:26,checkout,10
07:26,dairy,20
07:26,drinks,11
07:26,fruit,14
07:26,spices,9
07:27,checkout,10
07:27,dairy,19
07:27,drinks,16
07:27,fruit,13
07:27,spices,13
07:28,checkout,6
07:28,dairy,23
07:28,drinks,18
07:28,fruit,16
07:28,spices,8
07:29,checkout,6
07:29,dairy,24
07:29,drinks,21
07:29,fruit,16
07:29,spices,4
07:30,checkout,15
07:30,dairy,16
07:30,drinks,23
07:30,fruit,16
07:30,spices,4
07:31,checkout,11
07:31,dairy,17
07:31,drinks,17
07:31,fruit,16
07:31,spices,6
07:32,checkout,14
07:32,dairy,22
07:32,drinks,12
07:32,fruit,14
07:32,spices,5
07:33,checkout,10
07:33,dairy,20
07:33,drinks,13
07:33,fruit,12
07:33,spices,7
07:34,checkout,7
07:34,dairy,17
07:34,drinks,9
07:34,fruit,15
07:34,spices,10
07:35,checkout,8
07:35,dairy,19
07:35,drinks,15
07:35,fruit,9
07:35,spices,10
07:36,checkout,10
07:36,dairy,20
07:36,drinks,14
07:36,fruit,7
07:36,spices,12
07:37,checkout,8
07:37,dairy,12
07:37,drinks,12
07:37,fruit,12
07:37,spices,13
07:38,checkout,7
07:38,dairy,20
07:38,drinks,11
07:38,fruit,14
07:38,spices,7
07:39,checkout,6
07:39,dairy,19
07:39,drinks,15
07:39,fruit,12
07:39,spices,6
07:40,checkout,8
07:40,dairy,15
07:40,drinks,17
07:40,fruit,12
07:40,spices,7
07:41,checkout,7
07:41,dairy,17
07:41,drinks,17
07:41,fruit,14
07:41,spices,5
07:42,checkout,6
07:42,dairy,15
07:42,drinks,16
07:42,fruit,14
07:42,spices,10
07:43,checkout,9
07:43,dairy,17
07:43,drinks,15
07:43,fruit,8
07:43,spices,15
07:44,checkout,7
07:44,dairy,15
07:44,drinks,18
07:44,fruit,12
07:44,spices,11
07:45,checkout,6
07:45,dairy,16
07:45,drinks,20
07:45,fruit,9
07:45,spices,8
07:46,checkout,5
07:46,dairy,16
07:46,drinks,21
07:46,fruit,11
07:46,spices,6
07:47,checkout,12
07:47,dairy,11
07:47,drinks,17
07:47,fruit,14
07:47,spices,10
07:48,checkout,11
07:48,dairy,14
07:48,drinks,15
07:48,fruit,17
07:48,spices,5
07:49,checkout,8
07:49,dairy,15
07:49,drinks,15
07:49,fruit,15
07:49,spices,11
07:50,checkout,18
07:50,dairy,12
07:50,drinks,19
07:50,fruit,13
07:50,spices,4
07:51,checkout,8
07:51,dairy,14
07:51,drinks,15
07:51,fruit,9
07:51,spices,5
07:52,checkout,13
07:52,dairy,15
07:52,drinks,8
07:52,fruit,8
07:52,spices,3
07:53,checkout,4
07:53,dairy,16
